代码,指数代码,指数名,份额
516520,930721,中证智能汽车主题指数,863765466
516530,930716,中证现代物流指数,18302333
516550,399814,中证大农业指数,246414400
516560,399812,中证养老产业指数,216258001
516570,H11057,中证石化产业指数,1179357595
516580,399808,中证新能源指数,142124083
516590,H11052,中证智能电动汽车指数,50015000
516600,000806,消费服务,116332115
516610,H30178,中证全指医疗保健设备与服务指数,216974800
516620,930781,中证影视主题指数,166267541
516630,930851,中证云计算与大数据主题指数,523156000
516640,H30007,中证芯片产业指数,1186482781
516650,000811,细分有色,5342464789
516660,399976,中证新能源汽车指数,158689000
516670,930707,中证畜牧养殖指数,2977266313
516700,930902,中证大数据产业指数,147622015
516710,H30597,中证新材料主题指数,76272000
516720,931476,中证ESG120策略指数,12337807
516730,931412,中证证券公司30指数,165380771
516750,931009,中证全指建筑材料指数,130667264
516760,930707,中证畜牧养殖指数,297215079
516770,930901,中证动漫游戏指数,331048000
516780,930598,中证稀土产业指数,2278599676
516790,H30178,中证全指医疗保健设备与服务指数,177482183
516800,930850,中证智能制造主题指数,202308000
516810,000949,中证农业主题指数,524478907
516820,931484,中证医药及医疗器械创新指数,5522415249
516830,931463,沪深300ESG基准指数,87176885
516840,931008,中证全指汽车指数,129277000
516850,399808,中证新能源指数,144237000
516860,930986,中证金融科技主题指数,1166522000
516880,931151,中证光伏产业指数,991944061
516890,H30597,中证新材料主题指数,29311427
516900,000807,食品饮料,350729000
516910,930716,中证现代物流指数,58641835
516920,H30007,中证芯片产业指数,466963000
516930,930743,中证生物科技主题指数,113639567
516950,930608,中证基建指数,119821000
516960,000812,细分机械,13051128
516970,399995,中证基建工程指数,1114042513
516980,931402,中证证券公司先锋策略指数,68516000
517000,H30455,中证沪港深500人民币指数,132793000
517010,H30455,中证沪港深500人民币指数,87144188
517030,931395,中证沪港深300指数,87040311
517050,930625,中证沪港深互联网人民币指数,349605000
517080,H30455,中证沪港深500人民币指数,185166000
517090,GPCCH003,富时中国国企开放共赢指数,64074975
517100,H30455,中证沪港深500人民币指数,157102125
517110,931409,中证沪港深创新药产业人民币指数,968098525
517120,931409,中证沪港深创新药产业人民币指数,526966352
517130,931470,中证沪港深云计算产业人民币指数,466154000
517160,931554,中证长江保护主题指数,1824777488
517170,H30455,中证沪港深500人民币指数,16131846
517180,GPCCH003,富时中国国企开放共赢指数,101496252
517200,930625,中证沪港深互联网人民币指数,142782000
517233,,,0
517234,,,0
517300,931395,中证沪港深300指数,1260434450
517330,931554,中证长江保护主题指数,1806169017
517350,931524,中证沪港深科技龙头指数,50542000
517360,931442,中证沪港深科技100人民币指数,25083000
517380,HSSSHID,恒生沪深港创新药精选50指数,2322326315
517390,931470,中证沪港深云计算产业人民币指数,134112600
517400,931238,中证沪深港黄金产业股票指数,771792000
517520,931238,中证沪深港黄金产业股票指数,4734404000
517550,931663,中证沪港深消费龙头人民币指数,89417367
517660,931575,中证沪港深物联网主题指数,44680664
517770,931580,中证沪港深游戏及文化传媒指数,153947781
517800,931487,中证沪港深人工智能50人民币指数,232539737
517850,931596,中证沪港深张江自主创新50指数,38185172
517880,931404,中证沪港深品牌消费50人民币指数,53337114
517900,931039,中证银行AH价格优选人民币指数,479993456
517950,931785,中证智选沪深港科技50指数,59123233
517990,H30463,中证沪港深500医药卫生人民币指数,47987855
518600,SHAU,上海金,904216346
518660,AU9999,黄金9999,929852668
518680,SHAU,上海金,775369516
518800,AU9999,黄金9999,3615479220
518850,AU9999,黄金9999,1704978696
518860,SHAU,上海金,477759834
518880,AU9999,黄金9999,10296640847
518890,SHAU,上海金,400154845
520500,HSIDI,恒生创新药指数,1965305000
520510,932069,中证港股通医疗主题指数,224728000
520520,HSCGSI,恒生消费指数,54106000
520530,931573,中证港股通科技指数,270776000
520550,HSHYLV,恒生港股通高股息低波动指数,1099524000
520560,HSFML25,恒生中国(香港上市)30指数,677419000
520570,HSTECH,恒生科技指数,3560876000
520580,IMIT50,iEdge Emerging Asia Select 50 Index,291983880
520590,HSTECH,恒生科技指数,223235000
520600,931239,中证港股通汽车产业主题指数,326368000
520610,SPAHLVCP,标普港股通低波红利指数,285963000
520620,HSCGSI,恒生消费指数,349409000
520630,931637,中证港股通互联网指数,445610000
520650,931637,中证港股通互联网指数,1888755000
520660,931722,中证国新港股通央企红利指数,2307485486
520670,HSSCITI,恒生港股通科技主题指数,232428096
520680,931239,中证港股通汽车产业主题指数,67369000
520690,HSSCPB,恒生港股通创新药精选指数,722454000
520700,931250,中证港股通创新药指数,530076000
520710,930967,中证港股通信息技术综合港元指数,221029000
520720,931239,中证港股通汽车产业主题指数,131942000
520730,HSSCAM,恒生港股通汽车主题指数,125394444
520743,,,0
520750,930967,中证港股通信息技术综合港元指数,213384000
520760,HSHKBIO,恒生生物科技指数,205466000
520770,HSISC,恒指港股通指数,209373818
520780,931239,中证港股通汽车产业主题指数,39459969
520790,931637,中证港股通互联网指数,385075000
520810,930914,中证港股通高股息投资港元指数,280360000
520820,HSISC,恒指港股通指数,66682000
520830,FISAULMU,富时沙特阿拉伯指数,1186619000
520840,HSSCITI,恒生港股通科技主题指数,1270049000
520850,932069,中证港股通医疗主题指数,178249555
520860,931573,中证港股通科技指数,343195000
520870,BVSP,巴西BOVESPA,546477164
520880,HSSCPB,恒生港股通创新药精选指数,5729618000
520890,HSHYLV,恒生港股通高股息低波动指数,72008000
520900,931722,中证国新港股通央企红利指数,1798675047
520910,931637,中证港股通互联网指数,779445000
520920,HSTECH,恒生科技指数,19183019000
520930,HSHKBIO,恒生生物科技指数,129733000
